⺀	(⺀,Cd,,部首補充)
⽵	(竹,Kh,,康熙部首)
⽶	(米,Zc,,康熙部首)
⽷	(糸,Cp,,康熙部首)
⽸	(缶,Uq,,康熙部首)
⽹	(冂,OdIq,,康熙部首)
⽺	(羊,As,,康熙部首)
⽻	(羽,Qu,,康熙部首)
⽼	(耂一,RhFk,,康熙部首)
⽽	(而,Ui,,康熙部首)
⽾	(耒,Oa,,康熙部首)
⽿	(耳,Ua,,康熙部首)
⾀	(聿,Ja,,康熙部首)
⾁	(肉,Eu,,康熙部首)
⾂	(臣,Dn,,康熙部首)
⾃	(自,Cv,,康熙部首)
⾄	(至,Rn,,康熙部首)
⾅	(臼,Bq,,康熙部首)
⾆	(舌,Ji,,康熙部首)
⾇	(舛,Oo,,康熙部首)
⾈	(舟,Rg,,康熙部首)
⾉	(艮,Ix,,康熙部首)
⾊	(巴,NaSl,,康熙部首)
⾋	(䶹屮,MrMr,,康熙部首)
⾌	(𮓗,Pt,,康熙部首)
⾍	(虫,Hk,,康熙部首)
⾎	(血,Cu,,康熙部首)
⾏	(行,Ef,,康熙部首)
⾐	(衣,Hi,,康熙部首)
⾑	(襾,Xg,,康熙部首)
⾒	(見,Iu,,康熙部首)
⾓	(角,Tj,,康熙部首)
⾔	(言,Ok,,康熙部首)
⾕	(谷,La,,康熙部首)
⾖	(豆,Xn,,康熙部首)
⾗	(豕,By,,康熙部首)
⾘	(豸,By,,康熙部首)
⾙	(貝,Ml,,康熙部首)
⾚	(土,CkXl,,康熙部首)
⾛	(走,Us,,康熙部首)
⾜	(足,Hb,,康熙部首)
⾝	(身,Fa,,康熙部首)
⾞	(車,Bm,,康熙部首)
⾟	(辛,Vc,,康熙部首)
⾠	(辰,Pj,,康熙部首)
⾡	(彡龰,CdHl,,康熙部首)
⾢	(邑,Dv,,康熙部首)
⾣	(酉,Fd,,康熙部首)
⾤	(釆,Ru,,康熙部首)
⾥	(里,Gh,,康熙部首)
⾦	(釒,Lu,,康熙部首)
⾧	(長,Is,,康熙部首)
⾨	(門,Yz,,康熙部首)
⾩	(十,UvEo,,康熙部首)
⾪	(⺺,JaWj,,康熙部首)
⾫	(隹,Wf,,康熙部首)
⾬	(雨,Er,,康熙部首)
⾭	(龶円,BpJs,,康熙部首)
⾮	(非,Yx,,康熙部首)
⾯	(面,Sf,,康熙部首)
⾰	(革,Ue,,康熙部首)
⾱	(韋,Mb,,康熙部首)
⾲	(非一,YxFk,,康熙部首)
⾳	(󲨣,Hr,,康熙部首)
⾴	(頁,Ld,,康熙部首)
⾵	(風,Il,,康熙部首)
⾶	(飞,JfJf,,康熙部首)
⾷	(食,Nn,,康熙部首)
⾸	(䒑自,RcCv,,康熙部首)
⾹	(禾日,TuWr,,康熙部首)
⾺	(馬,Xt,,康熙部首)
⾻	(骨,Uv,,康熙部首)
⾼	(高,Ci,,康熙部首)
⾽	(镸彡,IsCd,,康熙部首)
⾾	(鬥,Yz,,康熙部首)
⾿	(凵匕,ZcMdYs,,康熙部首)
⿀	(冂,AkOdAs,,康熙部首)
⿁	(鬼,Jd,,康熙部首)
⿂	(魚,Kf,,康熙部首)
⿃	(鳥,Dw,,康熙部首)
⿄	(囗,PgXtZc,,康熙部首)
⿅	(鹿,Do,,康熙部首)
⿆	(麥,Oo,,康熙部首)
⿇	(广𣏟,FiGl,,康熙部首)
⿈	(廿一由八,XjFkKvAy,,康熙部首)
⿉	(禾人氺,TuSkBk,,康熙部首)
⿊	(黑,Gp,,康熙部首)
⿋	(业八巾八,EjAySuAy,,康熙部首)
⿌	(彐,XzBtQj,,康熙部首)
⿍	(目,HwFm,,康熙部首)
⿎	(壴支,MtOi,,康熙部首)
⿏	(鼠,Uz,,康熙部首)
⿐	(自田丌,CvTySe,,康熙部首)
⿑	(亠,WwZtPr,,康熙部首)
⿒	(止,HlXx,,康熙部首)
⿓	(立,JkHzDg,,康熙部首)
⿔	(乂,BtQjQjQi,,康熙部首)
⿕	(亼,AfYoTe,,康熙部首)
〇	(〇,Pr,líng,汉字笔画)
㇀	(一,Fk,,汉字笔画)
㇁	(乛,Bm,,汉字笔画)
㇂	(⺃,Hu,,汉字笔画)
㇃	(⺃,Hu,,汉字笔画)
