⺀	(⺀,Cd,,部首補充)
𦺞	(艹言可,QlOkUr,hè,扩B)
𦺟	(艹,QlGlOu,hú,扩B)
𦺠	(艹角瓜,QlTjVw,gū,扩B)
𦺡	(艹手,QlSaCj,zhǎng,扩B)
𦺢	(艹糹士口,QlCpNxPr,jié,扩B)
𦺣	(艹工頁,QlIvLd,xiàng,扩B)
𦺤	(艹扌矛木,QlVlHcYq,,扩B)
𦺥	(艹者阝,QlVnEr,dū,扩B)
𦺦	(艹,QlElCd,hán,扩B)
𦺧	(艹宀丰口刂,QlDxBpRj,jiá,扩B)
𦺨	(艹象,QlWp,xiàng,扩B)
𦺩	(艹早戈,QlPgQfGw,jí,扩B)
𦺪	(艹禾,QlTuGoTu,shǔ,扩B)
𦺫	(艹石丶艮,QlRaMsIx,làng,扩B)
𦺬	(艹幺幺戈人,QlCpCpSk,jī,扩B)
𦺭	(艹亻彐冖巾又,QlIuQjZn,shān,扩B)
𦺮	(艹广臼人,QlFiBqSk,,扩B)
𦺯	(艹片𠫓木,QlHwYvYq,,扩B)
𦺰	(艹夂糸,QlHsSpCp,tāo_tiáo,扩B)
𦺱	(艹此貝,QlVoMl,zī,扩B)
𦺲	(艹夕㔾貝,QlQyJfMl,shuàn,扩B)
𦺳	(艹立中口,QlJkOgPr,yì,扩B)
𦺴	(艹隹木,QlWfYq,jí,扩B)
𦺵	(艹耳又木,QlUaZnYq,chù,扩B)
𦺶	(艹厂火火刂,QlLsXlRj,jì,扩B)
𦺷	(艹先先,QlAeAe,shēn,扩B)
𦺸	(艹米舛,QlZcOo,lín_lìn,扩B)
𦺹	(艹耳卯,QlUaTp,liáo,扩B)
𦺺	(艹火火冖几,QlXlXlKx,,扩B)
𦺻	(艹龷攵,QlXjHzVj,sǎn,扩B)
𦺼	(艹阝音,QlErHr,,扩B)
𦺽	(艹日大电,QlWrNfZf,ǎn,扩B)
𦺾	(艹氵而大,QlMeUiNf,ruǎn,扩B)
𦺿	(艹音{戈无一},QlHrGw,,扩B)
𦻀	(艹彳是,QlToJe,tái_tí,扩B)
𦻁	(艹臼欠,QlNaBqKc,dàn,扩B)
𦻂	(艹氵食,QlMeNn,,扩B)
𦻃	(艹从隹,QlLcWf,huán,扩B)
𦻄	(艹氵聿彡,QlMeJaCd,,扩B)
𦻅	(艹夭非,QlFoYx,sà,扩B)
𦻆	(艹其木,QlKtYq,,扩B)
𦻇	(屮屮屮田心,MrMrMrVi,,扩B)
𦻈	(艹氵甫又,QlMeAhZn,,扩B)
𦻉	(艹舟又,QlRgZkZn,,扩B)
𦻊	(艹木其,QlYqKt,,扩B)
𦻋	(艹丅口丨口巾,QlZrPrSu,,扩B)
𦻌	(艹甫皿,QlAhYz,,扩B)
𦻍	(共日八土,LiWrAyCk,jǐn,扩B)
𦻎	(艹禾乂巾,QlTuQiSu,,扩B)
𦻏	(艹丄仌仌丂,QlHaLcBi,,扩B)
𦻐	(艹火早,QlXlPgQf,zhào,扩B)
𦻑	(艹言丶,QlOkMsBk,,扩B)
𦻒	(莫玉,QkJg,,扩B)
𦻓	(艹禾口王,QlTuPrKs,,扩B)
𦻔	(艹非文,QlYxHf,,扩B)
𦻕	(艹阝刍心,QlErJvVi,,扩B)
𦻖	(艹糹勹日,QlCpKlWr,,扩B)
𦻗	(艹隹辶,QlWfDf,,扩B)
𦻘	(艹夫夫日,QlXmXmWr,,扩B)
𦻙	(艹耳耳,QlUaUa,,扩B)
𦻚	(艹子耳阝,QlLgUaEr,,扩B)
𦻛	(艹氶三灬,QlCjPsXl,,扩B)
𦻜	(艹氵廿⺃木,QlMeXjYq,,扩B)
𦻝	(艹龺戈,QlTgGw,,扩B)
𦻞	(艹冖心丿大,QlPgOdNf,,扩B)
𦻟	(艹氵刀口十,QlMeJzEo,,扩B)
𦻠	(艹龶十,QlAkBpEo,,扩B)
𦻡	(艹耳又十,QlUaZnEo,,扩B)
𦻢	(艹至刂十,QlRnRjEo,,扩B)
𦻣	(艹从十,QlYqLcEo,,扩B)
𦻤	(艹凶凶日,QlMzMzWr,,扩B)
𦻥	(艹非十,QlYxEoEo,,扩B)
𦻦	(艹勹缶十,QlKlUqEo,,扩B)
𦻧	(艹隹十,QlWfEoEo,,扩B)
𦻨	(艹犭瓜十,QlRoVwEo,,扩B)
𦻩	(艹冖又丶虫,QlOdZnHk,,扩B)
𦻪	(艹韋廾,QlMbQl,,扩B)
𦻫	(艹亠⻀衣,QlWwQlHi,,扩B)
𦻬	(艹方其,QlLjKt,,扩B)
𦻭	(艹氵了口又凵,QlMeLdMd,,扩B)
𦻮	(艹方虎,QlLjPt,,扩B)
𦻯	(艹亡月女几,QlLmJsKx,,扩B)
𦻰	(艹歹非,QlNrYx,,扩B)
𦻱	(艹文,QlErHf,,扩B)
𦻲	(艹扌日皿,QlVlWrYz,,扩B)
𦻳	(艹旡旡日,QlRhRhWr,,扩B)
𦻴	(艹扌彐龰,QlVlPgHl,,扩B)
𦻵	(艹廿口十一力,QlXjPrSo,,扩B)
𦻶	(艹門斗,QlYzAd,,扩B)
𦻷	(艹巾幺虫,QlSuCpHk,,扩B)
𦻸	(艹吅口夕,QlYoPrQy,,扩B)
𦻹	(艹非灬,QlYxXl,,扩B)
𦻺	(艹門王,QlYzKs,,扩B)
𦻻	(艹山豆几,QlBnXnKx,,扩B)
𦻼	(艹罒辰,QlDdPj,,扩B)
𦻽	(艹木日月,QlYqWrJs,,扩B)
𦻾	(艹㡀又巾,QlFnZnSu,,扩B)
𦻿	(艹豸田,QlByTy,,扩B)
𦼀	(艹釆包,QlRuOv,,扩B)
𦼁	(艹禾,QlTuKf,,扩B)
𦼂	(艹王王,QlGoKsKs,,扩B)
𦼃	(艹亽口刂,QlAfZkRj,,扩B)
𦼄	(艹斗,QlJdAd,,扩B)
𦼅	(艹乡耳阝,QlPcUaEr,,扩B)
𦼆	(艹麦玉,QlNqJg,ruí,扩B)
𦼇	(艹亞心,QlPaVi,wū,扩B)
𦼈	(艹耳又灬,QlUaZnXl,jù,扩B)
𦼉	(艹艹隹,QlQlWf,huán,扩B)
𦼊	(艹木土八夂,QlYqCkSp,léng,扩B)
𦼋	(艹木氺,QlYqQjBk,lù,扩B)
𦼌	(丿艹日,LbEoQlTk,,扩B)
𦼍	(艹白宀元,QlDhDxRl,,扩B)
𦼎	(艹舟舟,QlRgRg,tān,扩B)
𦼏	(艹丷日,QlHdRhWr,zēng,扩B)
𦼐	(艹火火火,QlXlXlXl,,扩B)
𦼑	(艹宀儿亻白,QlDxDiDh,,扩B)
𦼒	(艹厶厶厶,QlFiFiGi,,扩B)
𦼓	(艹王火火,QlKsXlXl,qián,扩B)
𦼔	(艹大丷日小,QlNfHdIg,,扩B)
𦼕	(艹木,QlSaYq,,扩B)
𦼖	(艹冖禾禾,QlOdTuTu,,扩B)
𦼗	(艹尸牛,QlZkBkRs,xī,扩B)
𦼘	(艹尸比丅䒑,QlZkLqRc,,扩B)
𦼙	(艹女是,QlOuJe,,扩B)
𦼚	(艹木林,QlYqGl,,扩B)
𦼛	(艹走彡,QlUsGoCd,,扩B)
𦼜	(艹走小,QlUsNaIg,,扩B)
𦼝	(艹忄巛囟,QlGiPvZh,,扩B)
𦼞	(艹田,QlGoTuTy,,扩B)
𦼟	(艹糹儿,QlCpYvDi,,扩B)
𦼠	(艹門开,QlYzCm,,扩B)
𦼡	(艹幺巾夂巾,QlCpSuSu,cǐ,扩B)
𦼢	(艹山示斤,QlBnThTn,shé,扩B)
𦼣	(艹心丿大,QlPgOdNf,,扩B)
𦼤	(艹囗乂,QlXtQiUz,,扩B)
𦼥	(艹氵者,QlMeVn,,扩B)
𦼦	(艹{成三}{戈无一}皿,QlAiGwYz,,扩B)
𦼧	(艹阝辛乂,QlErVcQi,sà,扩B)
𦼨	(艹丨日八,QlGpWrAy,,扩B)
𦼩	(艹夭非一,QlFoYxFk,,扩B)
𦼪	(艹木矛木,QlYqHcYq,mào,扩B)
𦼫	(艹虍豕,QlPtBy,qú,扩B)
𦼬	(且皿,BhAwYz,,扩B)
𦼭	(艹木甫寸,QlYqAhOf,bó,扩B)
𦼮	(艹龺干,QlTgGoYc,gàn_gǎn,扩B)
𦼯	(艹丷豕辶,QlHdByDf,,扩B)
𦼰	(艹木曷,QlYqBl,hé_qiè,扩B)
𦼱	(艹隹,QlWfOd,juàn,扩B)
𦼲	(艹田,QlSaTy,dāng,扩B)
𦼳	(艹月旦丿,QlJsUwLb,cháng,扩B)
𦼴	(艹木旦丿,QlYqUwLb,yáng,扩B)
𦼵	(艹曷毛,QlBlGo,hé,扩B)
𦼶	(艹月廿⺃木,QlJsXjYq,,扩B)
𦼷	(艹車凵殳,QlBmMdFn,jī,扩B)
𦼸	(艹扌高,QlVlCi,,扩B)
𦼹	(艹亠囗口禾,QlWwXtTu,bǐng,扩B)
𦼺	(艹十戈口王,QlEoGwKs,,扩B)
𦼻	(艹氵几攵,QlMeBnVj,méi,扩B)
𦼼	(艹魚又,QlKfZn,,扩B)
𦼽	(艹韋支,QlMbOi,,扩B)
𦼾	(艹扌田,QlVlTpTy,,扩B)
𦼿	(艹屯頁,QlBtLd,dūn,扩B)
𦽀	(艹十頁,QlNcEoLd,ǎo,扩B)
𦽁	(艹糹一巛工,QlCpFkIv,jīng,扩B)
𦽂	(艹禾土八土,QlTuCkCk,lù,扩B)
𦽃	(艹片户,QlHwUdTe,miàn,扩B)
𦽄	(艹尸共殳,QlZkLiFn,diàn,扩B)
𦽅	(艹門可,QlYzUr,hè,扩B)
𦽆	(艹阝辛子,QlErVcLg,,扩B)
𦽇	(艹月聿廴,QlJsJaTk,jiān,扩B)
𦽈	(艹酋犬,QlHxRo,,扩B)
𦽉	(艹目火火,QlFmXlXl,,扩B)
𦽊	(艹口乛,QlPrTeAk,huá,扩B)
𦽋	(艹釒句,QlLuNw,gōu,扩B)
𦽌	(艹片田,QlHwAkTy,,扩B)
𦽍	(艹日,QlWrHw,,扩B)
𦽎	(艹礻彑氺,QlNqZjBk,lù,扩B)
𦽏	(艹鳥几,QlDwKx,fú,扩B)
𦽐	(艹臼土殳,QlBqCkFn,huǐ,扩B)
𦽑	(艹禾子,QlTuCiLg,,扩B)
𦽒	(艹貝戈,QlMlGwEo,zéi,扩B)
𦽓	(艹火火冖乛十,QlXlXlEo,,扩B)
𦽔	(艹林示,QlGlTh,jìn,扩B)
𦽕	(艹犭臣犬,QlRoDnRo,sī,扩B)
𦽖	(艹目囗禾,QlFmXtTu,qūn,扩B)
𦽗	(艹丷巾攵,QlHdSuVj,,扩B)
𦽘	(艹氵氏丶皿,QlMeOxYz,,扩B)
𦽙	(艹弓弓辶,QlDzDzDf,,扩B)
𦽚	(艹阝妾女,QlErXpOu,,扩B)
𦽛	(艹宀衤殳,QlDxNqFn,,扩B)
𦽜	(艹穴刀臼,QlKgJzBq,dàn,扩B)
𦽝	(艹亻田糸,QlIuTyCp,,扩B)
𦽞	(艹韋元,QlMbRl,wàn,扩B)
𦽟	(艹户辶,QlUdTeDf,biǎn,扩B)
𦽠	(艹出方攵,QlJwLjVj,,扩B)
𦽡	(艹冖老,QlCiOdPf,mào,扩B)
𦽢	(艹是,QlGlJe,,扩B)
𦽣	(屮屮木示欠,MrMrYqKc,,扩B)
𦽤	(艹言,QlOkLsHi,jiá,扩B)
𦽥	(艹扌禾,QlVlUdTu,,扩B)
𦽦	(艹二罒方,QlOdHtLj,,扩B)
𦽧	(艹禾禾乃,QlTuTuSn,,扩B)
𦽨	(艹車交,QlBmWa,,扩B)
𦽩	(艹木矛木,QlYqHcYq,,扩B)
𦽪	(艹斤田,QlTnAkTy,,扩B)
𦽫	(艹戊心,QlQbAkVi,dǎn,扩B)
𦽬	(艹癶匸丨匸丨,QlMeXmGp,jiū,扩B)
𦽭	(艹多臼,QlDsBq,xián,扩B)
𦽮	(艹舟殳女,QlRgFnOu,bó,扩B)
𦽯	(艹木了口又一,QlYqLdFk,,扩B)
𦽰	(艹矛爫,QlHcChJa,,扩B)
𦽱	(䶹屮丿口卩一䶹屮,MrMrLbMr,,扩B)
𦽲	(艹求衣,QlVuHi,,扩B)
𦽳	(艹日心,QlWrTkVi,,扩B)
𦽴	(艹立龶,QlJkBpHz,,扩B)
𦽵	(艹阝辛女,QlErVcOu,,扩B)
𦽶	(艹木耳阝,QlYqUaEr,,扩B)
𦽷	(艹氵聿十,QlMeJaEo,,扩B)
𦽸	(艹叚十,QlTjEoEo,,扩B)
𦽹	(艹目十,QlQlFmEo,,扩B)
𦽺	(艹吅亏攵,QlYoGiVj,,扩B)
𦽻	(艹亻口木十,QlIuPrEo,,扩B)
𦽼	(艹氵覀木,QlMeXgYq,,扩B)
𦽽	(艹米分大,QlZcDjNf,,扩B)
𦽾	(艹氵田,QlMeTpTy,,扩B)
𦽿	(艹覀貝,QlXgMl,,扩B)
𦾀	(艹大丷亏包,QlNfHdOv,,扩B)
𦾁	(艹𡗗白小,QlUdDhIg,,扩B)
𦾂	(艹王彡心,QlKsGoVi,,扩B)
𦾃	(艹扌去皿,QlVlGkYz,,扩B)
𦾄	(艹束宀女,QlGuDxOu,,扩B)
𦾅	(艹丰刀人氺,QlBpJzBk,,扩B)
𦾆	(艹口吅云,QlPrYoYv,,扩B)
𦾇	(艹大女未,QlOdNfEt,,扩B)
𦾈	(艹口吅木,QlPrYoYq,,扩B)
𦾉	(艹冖鳥,QlOdDw,,扩B)
𦾊	(艹口吅方,QlPrYoLj,,扩B)
𦾋	(艹罒冖舛,QlDdOdOo,,扩B)
𦾌	(艹虫夂丰,QlHkSpBp,,扩B)
𦾍	(艹日小,QlMeWrIg,,扩B)
𦾎	(艹禾禾女,QlTuTuOu,,扩B)
𦾏	(艹十甲,QlBkEoDa,xiá,扩B)
𦾐	(艹臣人皿,QlDnSkYz,,扩B)
𦾑	(艹覀示刂,QlXgThRj,biāo,扩B)
𦾒	(艹罒一我,QlDdFkWj,,扩B)
𦾓	(艹亻仌仌亏,QlIuLcGi,,扩B)
𦾔	(艹隹丨日,QlWfGpWr,,扩B)
𦾕	(艹月田,QlJsAkTy,pò,扩B)
𦾖	(艹宀又丷虫,QlDxZnHk,,扩B)
𦾗	(艹彐大丷皿,QlQjNfYz,,扩B)
𦾘	(艹女宀火夕,QlOuDxQy,sǎo,扩B)
𦾙	(艹扌十⺿大十,QlVlEoEo,bèi,扩B)
𦾚	(艹虍口天,QlPtPrAk,shà,扩B)
𦾛	(艹日韋,QlWrMb,wěi,扩B)
𦾜	(艹豸艮,QlByIx,,扩B)
𦾝	(艹亽口山,QlAfZkBn,cāng,扩B)
𦾞	(艹氺皿,QlQjBkYz,lù,扩B)
𦾟	(艹戈戈皿,QlGwGwYz,,扩B)
𦾠	(草示,NbGoTh,,扩B)
𦾡	(艹女几攵,QlOuBnVj,,扩B)
𦾢	(艹木其⺃,QlYqKtHu,,扩B)
𦾣	(艹扌冖隹,QlVlOdWf,,扩B)
𦾤	(艹亼刂心,QlAfHzVi,,扩B)
𦾥	(艹日冖車,QlWrOdBm,,扩B)
𦾦	(艹一巾女,QlUvFkOu,,扩B)
𦾧	(艹日者,QlWrVn,,扩B)
𦾨	(艹阝辛女,QlErVcOu,,扩B)
𦾩	(艹阝爫臼,QlErChBq,dàn,扩B)
𦾪	(艹日止己夊,QlWrHlSp,,扩B)
𦾫	(艹禾殳,QlGlTuFn,gǔ,扩B)
𦾬	(艹扌羽白,QlVlQuDh,zā,扩B)
𦾭	(艹片冖方,QlHwJkLj,bǎng,扩B)
𦾮	(艹龺木,QlTgGoYq,gàn_gǎn,扩B)
𦾯	(艹糹彑氺,QlCpZjBk,,扩B)
𦾰	(艹广囗口禾,QlFiXtTu,,扩B)
𦾱	(艹扌巛果,QlVlPvMv,chāo,扩B)
𦾲	(艹丷田共,QlHdTyLi,jì,扩B)
𦾳	(艹而大瓦,QlUiNfIj,liē,扩B)
𦾴	(艹母丿糸,QlNcShCp,fán,扩B)
𦾵	(艹火火冖木,QlXlXlYq,qióng,扩B)
𦾶	(艹氵車斤,QlMeBmTn,jiàn,扩B)
𦾷	(艹氵羽彡,QlMeQuCd,lù,扩B)
𦾸	(艹立山而,QlJkBnUi,duān,扩B)
𦾹	(艹酉厶八夂,QlFdFiSp,suān,扩B)
𦾺	(艹釒儿,QlLuDiWj,yáo,扩B)
𦾻	(艹爫工彐心,QlChIvVi,yǐn,扩B)
𦾼	(艹冉辶,QlXjMnDf,,扩B)
𦾽	(艹罒辶,QlDdBkDf,tà,扩B)
𦾾	(艹缶辶,QlMeUqDf,yáo,扩B)
𦾿	(艹米龶,QlZcBpHz,jīng,扩B)
𦿀	(艹禾者,QlTuVn,chú,扩B)
𦿁	(艹禾田,QlTuAkTy,fú,扩B)
𦿂	(艹弋鳥,QlWlDw,yuán,扩B)
𦿃	(艹镸肖,QlIsUg,shǎo,扩B)
𦿄	(艹申旦丿,QlKnUwLb,,扩B)
𦿅	(艹冫馬几,QlWjXtKx,bìng,扩B)
𦿆	(艹石旦丿,QlRaUwLb,dàng,扩B)
𦿇	(艹魚阝,QlKfEr,shì,扩B)
𦿈	(艹亼吅𠕁,QlAfYoTe,,扩B)
𦿉	(莫一艮,QkFkIx,,扩B)
𦿊	(艹虍巛田,QlPtPvTy,lú,扩B)
𦿋	(艹去曷,QlGkBl,qiè,扩B)
𦿌	(艹日幺幺灬,QlWrCpXl,luó,扩B)
𦿍	(艹亻业,QlIuEjKb,pò,扩B)
𦿎	(艹出示攵,QlJwThVj,,扩B)
𦿏	(艹艹罒冖夕,QlQlDdQy,méng_mèng,扩B)
𦿐	(艹丨丿隹戈,QlGpLbGw,jié,扩B)
𦿑	(䶹屮日日䶹屮,MrMrWrMr,,扩B)
𦿒	(艹木禾,QlYqUdTu,,扩B)
𦿓	(艹車口殳,QlBmPrFn,jī,扩B)
𦿔	(艹㡀攵廾,QlFnVjQl,,扩B)
𦿕	(艹扌隹木,QlVlWfYq,,扩B)
𦿖	(艹土鹿,QlCkDo,lù,扩B)
𦿗	(艹冖口毛,QlCiOdGo,,扩B)
𦿘	(艹仌且皿,QlLcAwYz,,扩B)
𦿙	(艹人比夬,QlNaOdSf,,扩B)
𦿚	(艹罒辶,QlDdBkDf,,扩B)
𦿛	(艹罒冖亻白,QlDdOdDh,,扩B)
𦿜	(艹宀貝,QlDxZkMl,,扩B)
𦿝	(艹㡀攵巾,QlFnVjSu,,扩B)
𦿞	(艹氵囱心,QlMeZhVi,,扩B)
𦿟	(艹糹大可,QlCpNfUr,,扩B)
𦿠	(艹冖隹十,QlOdWfEo,,扩B)
𦿡	(艹日癶天,QlWrMeAk,,扩B)
𦿢	(一豕十,BmFkByEo,,扩B)
𦿣	(艹高十,QlCiEoEo,,扩B)
𦿤	(艹亠幺田十,QlWwCpEo,,扩B)
𦿥	(艹囗仌⺃十,QlPgXtEo,,扩B)
𦿦	(艹人火火刂,QlOdSkRj,,扩B)
𦿧	(艹止戊示,QlHlQbTh,,扩B)
𦿨	(艹禾一巛田,QlTuFkTy,,扩B)
𦿩	(艹一曲日廾,QlFkNeQl,,扩B)
𦿪	(艹夂丰辶廾,QlSpBpQl,,扩B)
𦿫	(艹言大日,QlOkNfWr,,扩B)
𦿬	(艹广鳥,QlFiDw,,扩B)
𦿭	(艹氵廿巾,QlMeXjLc,,扩B)
𦿮	(艹丷豕生,QlHdByNc,,扩B)
𦿯	(艹皿勹㐅,QlBkYzQi,,扩B)
𦿰	(艹馬,QlKsXt,,扩B)
𦿱	(艹戊非一,QlQbYxFk,,扩B)
𦿲	(艹大鳥,QlNfDw,,扩B)
𦿳	(艹土八土丸土,QlCkAyCk,,扩B)
𦿴	(艹大丷日小,QlOdNfIg,,扩B)
𦿵	(艹白北文,QlDhOwHf,,扩B)
𦿶	(艹弓䒑刂刀,QlDzRcJz,,扩B)
𦿷	(艹犭日电,QlRoNaZf,,扩B)
𦿸	(艹廴虫,QlIfTkHk,,扩B)
𦿹	(莫口水,QkPrBk,,扩B)
𦿺	(艹禾米,QlTuJzZc,,扩B)
𦿻	(艹釒王,QlLuGoKs,,扩B)
𦿼	(艹勹止止止,QlKlHlHl,,扩B)
𦿽	(艹禾頁,QlTuLd,,扩B)
𦿾	(艹禾刂人氺,QlTuRjBk,,扩B)
𦿿	(艹糹禾女,QlCpTuOu,,扩B)
𧀀	(艹犭言犬,QlRoOkRo,,扩B)
𧀁	(艹禾咼,QlTuUv,,扩B)
𧀂	(艹爫示示,QlChThTh,,扩B)
𧀃	(艹来来,QlHeHe,,扩B)
𧀄	(艹田旦丿,QlTyUwLb,chàng,扩B)
𧀅	(艹罒戈禾,QlDdGwTu,miè_mò,扩B)
𧀆	(艹罒冖豆,QlDdOdXn,méng,扩B)
𧀇	(艹囗糹田,QlXtCpTy,jiǎn,扩B)
𧀈	(艹㐅一凵㐅一凵日,QlQiFkWr,,扩B)
𧀉	(艹氵厶厶厶小,QlMeFiIg,,扩B)
𧀊	(艹糹爫木,QlCpChYq,cǎi,扩B)
𧀋	(艹麻丿厶,QlAvLbFi,,扩B)
𧀌	(艹氵束欠,QlMeGuKc,sù,扩B)
𧀍	(䶹屮王凵,MrMrKsMd,qū,扩B)
𧀎	(艹,QlCiHz,,扩B)
𧀏	(艹釒儿,QlLuYvDi,,扩B)
𧀐	(艹王鬼,QlKsJd,,扩B)
𧀑	(艹禾𡈼旦,QlTuFuUw,,扩B)
𧀒	(艹女束攵,QlOuGuVj,,扩B)
𧀓	(艹尸女,QlZkKlOu,,扩B)
𧀔	(艹豸龙,QlByTlCd,hè,扩B)
𧀕	(艹阝辛辶,QlErVcDf,sà,扩B)
𧀖	(艹禾是,QlTuJe,,扩B)
𧀗	(艹耒巛田,QlOaPvTy,zī,扩B)
𧀘	(艹忄龶貝,QlGiBpMl,kēng,扩B)
𧀙	(艹耳火灬,QlUaXlXl,gěng,扩B)
𧀚	(艹禾乛火,QlTuBmXl,sī,扩B)
𧀛	(艹厶匕匕灬,QlFiHzXl,,扩B)
𧀜	(艹火爫臼,QlXlChBq,,扩B)
𧀝	(艹氵夂朩,QlMeHsYq,,扩B)
𧀞	(艹果𘱌,QlMvAkQi,,扩B)
𧀟	(艹厶口乃又皿,QlFiPrYz,,扩B)
𧀠	(艹糹是,QlCpJe,tí,扩B)
𧀡	(艹氵隹灬,QlMeWfXl,zhàn,扩B)
𧀢	(艹廿⺃木,QlHbXjYq,xiè,扩B)
𧀣	(艹言隹,QlOkWf,shuí,扩B)
𧀤	(艹止,QlHlXx,chǐ,扩B)
𧀥	(艹丆冖心夂,QlZrHzSp,yōu,扩B)
𧀦	(艹魚日,QlKfWr,lǔ,扩B)
𧀧	(艹罒冖土八夂,QlDdOdSp,mèng,扩B)
𧀨	(艹巛,QlPvUz,liè,扩B)
𧀩	(艹貝日丿,QlMlWrLb,sì,扩B)
𧀪	(艹氵大丷日小,QlMeNfIg,,扩B)
𧀫	(艹歹旦丿,QlNrNcLb,,扩B)
𧀬	(艹月木氺,QlJsYqBk,xī,扩B)
𧀭	(艹木爻木大,QlYqIqNf,fán,扩B)
𧀮	(艹甫方攵,QlAhLjVj,fū,扩B)
𧀯	(艹宀釆田,QlDxRuTy,shěn,扩B)
𧀰	(艹冖巾,QlHbJkSu,tí,扩B)
𧀱	(艹冖巾心,QlUlOdVi,chài,扩B)
𧀲	(艹門八兄,QlYzAySg,yuè,扩B)
𧀳	(艹镸彐,QlIsQjBk,sì,扩B)
𧀴	(艹虍田,QlPtTyHz,fū,扩B)
𧀵	(艹車斤木,QlBmTnYq,jiàn_shǎn,扩B)
𧀶	(艹田厶龰,QlGlTyHl,dì,扩B)
𧀷	(艹彡彐工口寸,QlCdQjOf,,扩B)
𧀸	(艹亻业䒑未,QlIuEjEt,,扩B)
𧀹	(艹灬辶,QlFiXlDf,zhè,扩B)
𧀺	(艹士口頁,QlNxPrLd,xié,扩B)
𧀻	(艹亻厂八言,QlIuNaOk,dān,扩B)
𧀼	(艹䶹㠯辛,QlMrUvVc,xuē,扩B)
𧀽	(艹禾且皿,QlTuAwYz,,扩B)
𧀾	(艹八弓丨丿,QlErAyLb,,扩B)
𧀿	(艹酋大阝,QlHxNfEr,zhí,扩B)
𧁀	(艹龺人,QlTgSkTu,,扩B)
𧁁	(艹吅,QlYoXjHi,,扩B)
𧁂	(艹阝丷豕辶,QlErHdDf,,扩B)
𧁃	(艹禾亠幺田,QlTuWwTy,xù,扩B)
𧁄	(艹氵止舟刂,QlMeHlRj,,扩B)
𧁅	(艹乃正金,QlSnNtLu,,扩B)
𧁆	(艹山水金,QlBnBkLu,,扩B)
𧁇	(屮屮屮屮一屮又,MrMrMrZn,,扩B)
𧁈	(艹土八土丸木,QlCkAyYq,niè,扩B)
𧁉	(艹甫方巴,QlAhLjSl,fàn,扩B)
𧁊	(艹目艮心,QlFmIxVi,méng,扩B)
𧁋	(艹母攵心,QlNcShVi,mǐn,扩B)
𧁌	(⻀罒冖亻人,QlDdOdSk,,扩B)
𧁍	(艹車耳又,QlBmUaZn,,扩B)
𧁎	(艹日冖正攵,QlWrOdVj,,扩B)
𧁏	(艹田厶龰,QlGlTyHl,,扩B)
𧁐	(艹宀毌貝,QlDxKlMl,,扩B)
𧁑	(艹氵厶厶厶,QlMeFiGi,,扩B)
𧁒	(艹木丶,QlYqAsBk,,扩B)
𧁓	(艹亻曲辰,QlIuNePj,,扩B)
𧁔	(艹氵甫皿,QlMeAhYz,,扩B)
𧁕	(艹氵丷开十,QlMeHdEo,,扩B)
𧁖	(艹䒑幺幺田,QlRcCpTy,,扩B)
𧁗	(艹囱心十,QlZhViEo,,扩B)
𧁘	(艹女彐工口寸,QlOuQjOf,,扩B)
𧁙	(艹丶艮,QlKbMsIx,,扩B)
𧁚	(艹心心心土,QlViViCk,,扩B)
𧁛	(艹氵了口又一灬,QlMeLdXl,,扩B)
𧁜	(艹丰丰彐心,QlBpBpVi,,扩B)
𧁝	(艹一非囗口,QlFkYxPr,,扩B)
𧁞	(艹示示示,QlThThTh,,扩B)
𧁟	(艹革宀女,QlUeDxOu,,扩B)
𧁠	(艹阝日大一,QlErNaNa,,扩B)
𧁡	(共冂甫,LiOdHlAh,,扩B)
𧁢	(艹日鳥,QlWrDw,,扩B)
𧁣	(艹罒冖果,QlDdOdMv,,扩B)
𧁤	(艹只只只,QlLrLrLr,,扩B)
𧁥	(艹巾糹糹,QlSuCpCp,,扩B)
𧁦	(艹罒馬,QlDdXt,,扩B)
𧁧	(艹冂丨虫糸,QlOdGpCp,,扩B)
𧁨	(艹禾大,QlTuKfNf,,扩B)
𧁩	(艹禾鬼,QlTuJd,,扩B)
𧁪	(艹隹見,QlWfIu,,扩B)
𧁫	(艹亻口吅木,QlIuPrYq,,扩B)
𧁬	(艹行𡈼旦,QlEfFuUw,,扩B)
𧁭	(艹糹口耳,QlCpPrUa,,扩B)
𧁮	(艹行韋,QlEfMb,,扩B)
𧁯	(艹糹風,QlCpIl,,扩B)
𧁰	(艹󰏖目攴,QlNaIeVj,,扩B)
𧁱	(艹冂古攵,QlJkOdVj,,扩B)
𧁲	(艹革二斤,QlUeHtTn,,扩B)
𧁳	(艹甫月巴,QlAhJsSl,,扩B)
𧁴	(艹僉刂,QlOgRj,,扩B)
𧁵	(艹扌灬,QlVlBkXl,,扩B)
𧁶	(艹厂八土,QlLsRhCk,,扩B)
𧁷	(艹古广車,QlObFiBm,,扩B)
𧁸	(艹二宀果,QlNaHtMv,,扩B)
𧁹	(广車艹古,FiBmQlOb,,扩B)
𧁺	(艹糹戊,QlCpQbAk,,扩B)
𧁻	(艹止彐冖巾十,QlHlQjEo,,扩B)
𧁼	(艹阝工辶,QlErEoDf,,扩B)
𧁽	(艹米舛辶,QlZcOoDf,,扩B)
